family,seed,C,B,gamma,T_count,T_depth,peak_demand,mean_demand,delta_max,slack_ratio,mean_t_slack,stall,slowdown_ratio,inversion,strong_baseline_inversion,shaping_gain,strong_baseline_shaping_gain,feasible
high_compressibility,1,4,0,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,inf,0,0,0.0,-0.25,0
high_compressibility,1,4,1,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,inf,0,0,0.0,-0.25,0
high_compressibility,1,4,2,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.5,1,0,0.16666666666666666,-0.25,1
high_compressibility,1,4,3,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.375,1,0,0.09090909090909091,-0.25,1
high_compressibility,1,4,4,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,5,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,6,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,7,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,8,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,9,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,10,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,11,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,12,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,13,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,14,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,4,15,7,29,8,6,3.625,7,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,5,0,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,inf,0,0,0.0,-0.25,0
high_compressibility,1,5,1,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.375,1,0,0.09090909090909091,-0.25,1
high_compressibility,1,5,2,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.25,0,0,0.0,-0.25,1
high_compressibility,1,5,3,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,4,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,5,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,6,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,7,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,8,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,9,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,10,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,11,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,12,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,13,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,14,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,5,15,3,29,8,6,3.625,3,1.0,3.9655172413793105,1,1.125,0,0,-0.1111111111111111,-0.25,1
high_compressibility,1,6,0,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,1,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,2,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,3,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,4,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,1,6,5,0,29,8,6,3.625,0,1.0,3.9655172413793105,0,1.0,0,0,-0.25,-0.25,1
