trace_name,T_count,T_depth,slack_ratio,mean_t_slack,delta_max_mean,closest_synthetic_family,frac_CB_with_slowdown
adder_n4,56,98,0.35714285714285715,8.142857142857142,0.0,low_compressibility,0.008928571428571428
multiplier_n4,978,1381,0.34662576687116564,11.243353783231084,1.0,low_compressibility,0.05357142857142857
