trace_name,n_bits,total_T,peak_demand,mean_demand,compressibility_proxy,Delta_max_static_min,Delta_max_smoothed,T_exe_improvement,inversion_observed,critical_capacity_static_min,critical_capacity_smoothed,critical_buffer_static_min,critical_buffer_smoothed,stall_saturation_buffer_static_min,stall_saturation_buffer_smoothed,capacity_reduction,buffer_reduction,best_stall_reduction,best_normalized_improvement
adder_n4,4,56,2,0.5714285714285714,1.3228756555322954,0,0,0.0,0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
multiplier_n4,4,978,4,0.7081824764663287,1.0729893953093352,5,0,0.006474820143884892,0,4.0,1.0,-1.0,0.0,7.0,0.0,3.0,-1.0,9.0,0.006474820143884892
