routing_alpha,row_count,spearman_nominal_delta_max_vs_proxy_slowdown,spearman_proxy_delta_max_vs_proxy_slowdown,policy_ordering_agreement_rate
1.0,64,0.9071522912696379,0.9071522912696379,0.6785714285714286
1.25,60,0.7214219024130708,0.9352030351112511,0.72
1.5,59,0.64565107375796,0.8893420615284837,0.8333333333333334
