family,seed,policy,capacity_limit_mode,capacity_limit,C,B,feasible,feasible_reason,legacy_compressibility,slack_ratio,mean_t_slack,T_static,T_exe,stall_cycles,stall_ratio,delta_max,gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
high_compressibility,1,static_min,none,0,2,3,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,17,17,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,2,2,3,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,3,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,4,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,5,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,6,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,7,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,8,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,9,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,10,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,11,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,12,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,13,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,14,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,2,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,224.0,2.125
high_compressibility,1,capacity_aware_static,C,2,2,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,192.0,1.0
high_compressibility,1,smoothed,none,0,2,15,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,230.0,1.5
high_compressibility,1,static_min,none,0,3,0,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,11,11,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,3,3,0,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,0,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,1,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,11,11,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,3,3,1,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,1,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,2,0,peak_demand_exceeds_reachable_stock,0.5665024630541872,1.0,3.9655172413793105,8,inf,inf,1.0,11,11,6,3.625,29,inf,inf
high_compressibility,1,capacity_aware_static,C,3,3,2,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,147.0,1.0
high_compressibility,1,smoothed,none,0,3,2,1,feasible,0.5665024630541872,1.0,3.9655172413793105,10,10.0,0.0,0.0,0,0,3,2.9,29,155.0,1.0
high_compressibility,1,static_min,none,0,3,3,1,feasible,0.5665024630541872,1.0,3.9655172413793105,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,159.0,1.5
