p_acc,row_count,spearman_delta_max_vs_mean_slowdown,spearman_expected_service_delta_max_vs_mean_slowdown,policy_ordering_agreement_rate
1.0,52,0.94527277439712,0.94527277439712,0.7727272727272727
0.999,52,0.7039082122417571,0.8940244827816136,0.7272727272727273
0.995,52,0.6712846790920876,0.8718241007875919,0.6818181818181818
0.99,52,0.6513021416249707,0.8651289849191461,0.6363636363636364
0.95,52,0.5883100670025608,0.8242885020629603,0.6363636363636364
