family,policy,capacity_limit_mode,mean_T_exe,mean_normalized_makespan,mean_delta_max,mean_QTV_proxy,mean_slack_ratio
high_compressibility,capacity_aware_static,C,12.485714285714286,1.0,0.0,162.42857142857142,1.0
high_compressibility,smoothed,none,13.01660516605166,1.3286182861828617,3.7785977859778597,209.11992619926198,1.0
high_compressibility,static_min,none,12.75365344467641,1.5942066805845512,7.482254697286012,176.50313152400835,1.0
low_compressibility,capacity_aware_static,C,42.0,1.0,0.0,263.0,0.0
low_compressibility,smoothed,none,42.0,1.0,0.0,263.0,0.0
low_compressibility,static_min,none,42.0,1.0,0.0,263.0,0.0
medium_compressibility,capacity_aware_static,C,16.885714285714286,1.0,0.0,176.42857142857142,0.7919999999999999
medium_compressibility,smoothed,none,16.924324324324324,1.0888210191615766,1.3243243243243243,218.32972972972973,0.792
medium_compressibility,static_min,none,16.72537878787879,1.1164862251718868,1.8920454545454546,183.12878787878788,0.7899242424242424
