workload_family,workload_name,instance_id,size_n,T_count,T_depth,trace_length,peak_T_demand,slack_ratio,mean_t_slack,mean_delta_max,max_delta_max,mean_peak_demand,frac_CB_with_slowdown,frac_CB_with_stall,grid_type,synthesis_precision,variant,evaluated,skip_reason,modulus,multiplier_constant,qaoa_p,graph_type,graph_seed,graph_edges
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_random_3_regular_s0,6,208272,151282,151282,4,0.2632903126680495,9989.497752938463,11398.0,56990.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,0.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_random_3_regular_s1,6,208272,151282,151282,4,0.2632903126680495,9989.497752938463,11398.0,56990.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,1.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_random_3_regular_s2,6,208272,227164,227164,3,0.2632903126680495,16649.162921564108,0.0,0.0,3.0,0.16,0.24,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,random_3_regular,2.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_erdos_renyi_dense_s0,6,166266,125988,125988,4,0.2491188817918275,12557.851984169944,8055.6,40278.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,0.0,6.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_erdos_renyi_dense_s1,6,208272,201870,201870,2,0.3977490973342552,20050.16342091112,1280.4,6402.0,2.0,0.16,0.2,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,1.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p1_erdos_renyi_dense_s2,6,166266,151282,151282,2,0.4140233120421493,27245.824305630736,2996.8,14984.0,2.0,0.16,0.2,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,1.0,erdos_renyi_dense,2.0,6.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_ring_s0,6,313590,218104,218104,4,0.4941643547306993,8953.993638189993,19097.4,95487.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,ring,0.0,6.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_random_3_regular_s0,6,391863,240203,240203,4,0.3905752775842577,5482.868221802008,30332.2,151661.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,0.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_random_3_regular_s1,6,391863,240203,240203,5,0.3905752775842577,5381.236592890883,30332.2,151661.0,5.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,1.0,9.0
qaoa_maxcut,QAOA,qaoa_maxcut_n6_p2_random_3_regular_s2,6,391863,404481,404481,4,0.3330092404743494,22176.39492118419,0.0,0.0,4.0,0.16,0.44,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,,1,,,,2.0,random_3_regular,2.0,9.0
