family,seed,policy,capacity_limit_mode,C,B,compressibility,compressibility_slack_ratio,compressibility_mean_t_slack,T_static,T_exe,normalized_makespan,QTV_proxy,Delta_max,Gamma
high_compressibility,1,capacity_aware_static,C,3,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,4,0,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,1,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,2,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,3,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,4,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,5,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,6,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,7,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,8,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,9,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,10,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,11,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,12,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,13,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,14,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,15,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,5,0,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,1,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,2,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,3,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,4,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,5,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,6,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,7,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,8,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,9,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,10,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,11,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,12,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,13,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,14,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,5,15,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,110.0,0,0
high_compressibility,1,capacity_aware_static,C,6,0,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,1,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,2,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,3,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,4,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
high_compressibility,1,capacity_aware_static,C,6,5,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,108.0,0,0
