trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,workload_family,workload_name,instance_id,size_n,grid_type,synthesis_precision,variant
cla_adder_n4,static_min,65,9,1.2591191727600668,1,0,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,1,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,2,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,3,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,4,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,5,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,6,0,peak_demand_exceeds_reachable_stock,65,inf,inf,1.0,36,60,8,1.5076923076923077,98,inf,inf,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,7,1,feasible,65,101.0,36.0,0.3564356435643564,36,60,8,1.5076923076923077,98,909.0,1.5538461538461539,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,8,1,feasible,65,101.0,36.0,0.3564356435643564,36,60,8,1.5076923076923077,98,909.0,1.5538461538461539,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
cla_adder_n4,static_min,65,9,1.2591191727600668,1,9,1,feasible,65,101.0,36.0,0.3564356435643564,36,60,8,1.5076923076923077,98,909.0,1.5538461538461539,cla_adder,CLA adder,cla_adder_n4,4,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix
