trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,workload_family,workload_name,instance_id,size_n,qaoa_p,graph_type,graph_seed,graph_edges,grid_type,synthesis_precision
qaoa_maxcut_n10_p1_random_3_regular_s2,static_min,303046,10,0.8124152956519871,1,0,0,peak_demand_exceeds_reachable_stock,303046,inf,inf,1.0,44074,141625,3,1.1454366663806814,347120,inf,inf,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,static_min,303046,10,0.8124152956519871,1,4,1,feasible,303046,359682.0,56636.0,0.1574613130487486,44074,141625,3,1.1454366663806814,347120,3596820.0,1.1868891191436284,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,static_min,303046,10,0.8124152956519871,1,8,1,feasible,303046,359654.0,56608.0,0.15739571921902717,44074,141625,3,1.1454366663806814,347120,3596540.0,1.1867967239297004,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,static_min,303046,10,0.8124152956519871,1,12,1,feasible,303046,359626.0,56580.0,0.1573301151752098,44074,141625,3,1.1454366663806814,347120,3596260.0,1.1867043287157726,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,static_min,303046,10,0.8124152956519871,1,15,1,feasible,303046,359605.0,56559.0,0.15728090543791104,44074,141625,3,1.1454366663806814,347120,3596050.0,1.1866350323053265,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,capacity_aware_static,358414,10,0.8124152956519871,1,0,1,feasible,358414,358414.0,0.0,0.0,0,0,1,0.9684889541145156,347120,3584140.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,capacity_aware_static,358414,10,0.8124152956519871,1,4,1,feasible,358414,358414.0,0.0,0.0,0,0,1,0.9684889541145156,347120,3584140.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,capacity_aware_static,358414,10,0.8124152956519871,1,8,1,feasible,358414,358414.0,0.0,0.0,0,0,1,0.9684889541145156,347120,3584140.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,capacity_aware_static,358414,10,0.8124152956519871,1,12,1,feasible,358414,358414.0,0.0,0.0,0,0,1,0.9684889541145156,347120,3584140.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p1_random_3_regular_s2,capacity_aware_static,358414,10,0.8124152956519871,1,15,1,feasible,358414,358414.0,0.0,0.0,0,0,1,0.9684889541145156,347120,3584140.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p1_random_3_regular_s2,10,1,random_3_regular,2,15,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
