trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,workload_family,workload_name,instance_id,size_n,qaoa_p,graph_type,graph_seed,graph_edges,grid_type,synthesis_precision
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,static_min,480363,10,0.7959271053211683,1,0,0,peak_demand_exceeds_reachable_stock,480363,inf,inf,1.0,279662,388234,5,1.5768679103094951,757469,inf,inf,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,static_min,480363,10,0.7959271053211683,1,4,1,feasible,480363,778529.0,298166.0,0.38298637558780724,279662,388234,5,1.5768679103094951,757469,7785290.0,1.6207097549145126,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,static_min,480363,10,0.7959271053211683,1,8,1,feasible,480363,778521.0,298158.0,0.3829800352206299,279662,388234,5,1.5768679103094951,757469,7785210.0,1.6206931008424879,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,static_min,480363,10,0.7959271053211683,1,12,1,feasible,480363,778513.0,298150.0,0.3829736947231453,279662,388234,5,1.5768679103094951,757469,7785130.0,1.620676446770463,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,static_min,480363,10,0.7959271053211683,1,15,1,feasible,480363,778507.0,298144.0,0.3829689392645153,279662,388234,5,1.5768679103094951,757469,7785070.0,1.6206639562164447,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,capacity_aware_static,766053,10,0.7959271053211683,1,0,1,feasible,766053,766053.0,0.0,0.0,0,0,1,0.9887945089961139,757469,7660530.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,capacity_aware_static,766053,10,0.7959271053211683,1,4,1,feasible,766053,766053.0,0.0,0.0,0,0,1,0.9887945089961139,757469,7660530.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,capacity_aware_static,766053,10,0.7959271053211683,1,8,1,feasible,766053,766053.0,0.0,0.0,0,0,1,0.9887945089961139,757469,7660530.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,capacity_aware_static,766053,10,0.7959271053211683,1,12,1,feasible,766053,766053.0,0.0,0.0,0,0,1,0.9887945089961139,757469,7660530.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,capacity_aware_static,766053,10,0.7959271053211683,1,15,1,feasible,766053,766053.0,0.0,0.0,0,0,1,0.9887945089961139,757469,7660530.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n10_p2_erdos_renyi_dense_s0,10,2,erdos_renyi_dense,0,19,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
