trace_name,C,B,real_trace_compressibility,Delta_max_capacity_aware_static,Delta_max_smoothed,Delta_max_static_min,Gamma_capacity_aware_static,Gamma_smoothed,Gamma_static_min,QTV_proxy_capacity_aware_static,QTV_proxy_smoothed,QTV_proxy_static_min,T_exe_capacity_aware_static,T_exe_smoothed,T_exe_static_min,T_static_capacity_aware_static,T_static_smoothed,T_static_static_min,feasible_capacity_aware_static,feasible_smoothed,feasible_static_min,stall_cycles_capacity_aware_static,stall_cycles_smoothed,stall_cycles_static_min,both_feasible,inversion,T_exe_improvement,stall_reduction,relative_change_in_QTV
qft_n8,2,6,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698672.0,549736.0,549736.0,587334.0,549736,549736,549736,1,1,1,0.0,0.0,37598.0,1,0,0.06401468329774881,37598.0,-0.06401468329774881
qft_n8,2,7,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698664.0,549736.0,549736.0,587333.0,549736,549736,549736,1,1,1,0.0,0.0,37597.0,1,0,0.06401308967825747,37597.0,-0.06401308967825747
qft_n8,2,8,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698632.0,549736.0,549736.0,587329.0,549736,549736,549736,1,1,1,0.0,0.0,37593.0,1,0,0.06400671514602548,37593.0,-0.06400671514602548
qft_n8,2,9,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698624.0,549736.0,549736.0,587328.0,549736,549736,549736,1,1,1,0.0,0.0,37592.0,1,0,0.06400512149940067,37592.0,-0.06400512149940067
qft_n8,2,10,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698592.0,549736.0,549736.0,587324.0,549736,549736,549736,1,1,1,0.0,0.0,37588.0,1,0,0.0639987468586334,37588.0,-0.0639987468586334
qft_n8,2,11,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698584.0,549736.0,549736.0,587323.0,549736,549736,549736,1,1,1,0.0,0.0,37587.0,1,0,0.06399715318487442,37587.0,-0.06399715318487442
qft_n8,2,12,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698552.0,549736.0,549736.0,587319.0,549736,549736,549736,1,1,1,0.0,0.0,37583.0,1,0,0.06399077843556909,37583.0,-0.06399077843556909
qft_n8,2,13,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698544.0,549736.0,549736.0,587318.0,549736,549736,549736,1,1,1,0.0,0.0,37582.0,1,0,0.06398918473467526,37582.0,-0.06398918473467526
qft_n8,2,14,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698512.0,549736.0,549736.0,587314.0,549736,549736,549736,1,1,1,0.0,0.0,37578.0,1,0,0.06398280987682908,37578.0,-0.06398280987682908
qft_n8,2,15,0.7440525026712468,0,0,0,0,0,129369,4397888.0,4397888.0,4698504.0,549736.0,549736.0,587313.0,549736,549736,549736,1,1,1,0.0,0.0,37577.0,1,0,0.0639812161487997,37577.0,-0.0639812161487997
qft_n8,3,0,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,3,1,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,3,2,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,inf,549736.0,549736.0,inf,549736,549736,549736,1,1,0,0.0,0.0,inf,0,0,0.0,0.0,0.0
qft_n8,3,3,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4415880.0,549736.0,549736.0,551985.0,549736,549736,549736,1,1,1,0.0,0.0,2249.0,1,0,0.004074386079331866,2249.0,-0.004074386079331866
qft_n8,3,4,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413416.0,549736.0,549736.0,551677.0,549736,549736,549736,1,1,1,0.0,0.0,1941.0,1,0,0.0035183631001473687,1941.0,-0.0035183631001473687
qft_n8,3,5,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413040.0,549736.0,549736.0,551630.0,549736,549736,549736,1,1,1,0.0,0.0,1894.0,1,0,0.0034334608342548446,1894.0,-0.0034334608342548446
qft_n8,3,6,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413040.0,549736.0,549736.0,551630.0,549736,549736,549736,1,1,1,0.0,0.0,1894.0,1,0,0.0034334608342548446,1894.0,-0.0034334608342548446
qft_n8,3,7,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413032.0,549736.0,549736.0,551629.0,549736,549736,549736,1,1,1,0.0,0.0,1893.0,1,0,0.003431654245879024,1893.0,-0.003431654245879024
qft_n8,3,8,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413024.0,549736.0,549736.0,551628.0,549736,549736,549736,1,1,1,0.0,0.0,1892.0,1,0,0.0034298476509531787,1892.0,-0.0034298476509531787
qft_n8,3,9,0.7440525026712468,0,0,0,0,0,33667,4397888.0,4397888.0,4413024.0,549736.0,549736.0,551628.0,549736,549736,549736,1,1,1,0.0,0.0,1892.0,1,0,0.0034298476509531787,1892.0,-0.0034298476509531787
