trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,workload_family,workload_name,instance_id,size_n,qaoa_p,graph_type,graph_seed,graph_edges,grid_type,synthesis_precision
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,1,0,0,peak_demand_exceeds_reachable_stock,353893,inf,inf,1.0,168592,254278,4,1.4763897562257517,522484,inf,inf,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,1,4,1,feasible,353893,533775.0,179882.0,0.33699967214650367,168592,254278,4,1.4763897562257517,522484,4270200.0,1.5082948800908749,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,1,8,1,feasible,353893,533771.0,179878.0,0.3369947037212587,168592,254278,4,1.4763897562257517,522484,4270168.0,1.508283577239448,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,1,12,1,feasible,353893,533767.0,179874.0,0.33698973522154796,168592,254278,4,1.4763897562257517,522484,4270136.0,1.5082722743880213,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,1,15,1,feasible,353893,533764.0,179871.0,0.3369860087978957,168592,254278,4,1.4763897562257517,522484,4270112.0,1.508263797249451,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,533778,8,0.7276630136033194,1,0,1,feasible,533778,533778.0,0.0,0.0,0,0,1,0.9788413909902619,522484,4270224.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,533778,8,0.7276630136033194,1,4,1,feasible,533778,533778.0,0.0,0.0,0,0,1,0.9788413909902619,522484,4270224.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,533778,8,0.7276630136033194,1,8,1,feasible,533778,533778.0,0.0,0.0,0,0,1,0.9788413909902619,522484,4270224.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,533778,8,0.7276630136033194,1,12,1,feasible,533778,533778.0,0.0,0.0,0,0,1,0.9788413909902619,522484,4270224.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,533778,8,0.7276630136033194,1,15,1,feasible,533778,533778.0,0.0,0.0,0,0,1,0.9788413909902619,522484,4270224.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,smoothed,353893,8,0.7276630136033194,1,0,0,peak_demand_exceeds_reachable_stock,353893,inf,inf,1.0,168592,217332,2,1.4763897562257517,522484,inf,inf,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,smoothed,353893,8,0.7276630136033194,1,4,1,feasible,353893,533775.0,179882.0,0.33699967214650367,168592,217332,2,1.4763897562257517,522484,4270200.0,1.5082948800908749,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,smoothed,353893,8,0.7276630136033194,1,8,1,feasible,353893,533771.0,179878.0,0.3369947037212587,168592,217332,2,1.4763897562257517,522484,4270168.0,1.508283577239448,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,smoothed,353893,8,0.7276630136033194,1,12,1,feasible,353893,533767.0,179874.0,0.33698973522154796,168592,217332,2,1.4763897562257517,522484,4270136.0,1.5082722743880213,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,smoothed,353893,8,0.7276630136033194,1,15,1,feasible,353893,533764.0,179871.0,0.3369860087978957,168592,217332,2,1.4763897562257517,522484,4270112.0,1.508263797249451,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,2,0,0,peak_demand_exceeds_reachable_stock,353893,inf,inf,1.0,0,70512,4,1.4763897562257517,522484,inf,inf,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,2,4,1,feasible,353893,356946.0,3053.0,0.008553114476699557,0,70512,4,1.4763897562257517,522484,2855568.0,1.0086269013515385,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,2,8,1,feasible,353893,356936.0,3043.0,0.008525337875697604,0,70512,4,1.4763897562257517,522484,2855488.0,1.0085986442229713,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,2,12,1,feasible,353893,356926.0,3033.0,0.008497559718260928,0,70512,4,1.4763897562257517,522484,2855408.0,1.0085703870944043,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,static_min,353893,8,0.7276630136033194,2,15,1,feasible,353893,356917.0,3024.0,0.008472558045708106,0,70512,4,1.4763897562257517,522484,2855336.0,1.0085449556786938,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,353893,8,0.7276630136033194,2,0,1,feasible,353893,353893.0,0.0,0.0,0,0,2,1.4763897562257517,522484,2831144.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,353893,8,0.7276630136033194,2,4,1,feasible,353893,353893.0,0.0,0.0,0,0,2,1.4763897562257517,522484,2831144.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,353893,8,0.7276630136033194,2,8,1,feasible,353893,353893.0,0.0,0.0,0,0,2,1.4763897562257517,522484,2831144.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,353893,8,0.7276630136033194,2,12,1,feasible,353893,353893.0,0.0,0.0,0,0,2,1.4763897562257517,522484,2831144.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
qaoa_maxcut_n8_p2_random_3_regular_s2,capacity_aware_static,353893,8,0.7276630136033194,2,15,1,feasible,353893,353893.0,0.0,0.0,0,0,2,1.4763897562257517,522484,2831144.0,1.0,qaoa_maxcut,QAOA,qaoa_maxcut_n8_p2_random_3_regular_s2,8,2,random_3_regular,2,12,reduced,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg
