trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
adder_n6,static_min,146,14,1.3157858932998192,1,0,0,peak_demand_exceeds_reachable_stock,146,inf,inf,1.0,0,24,2,0.5753424657534246,84,inf,inf
adder_n6,static_min,146,14,1.3157858932998192,1,1,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,2,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,3,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,4,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,5,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,6,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,7,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,8,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,9,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,10,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,11,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
adder_n6,static_min,146,14,1.3157858932998192,1,12,1,feasible,146,146.0,0.0,0.0,0,24,2,0.5753424657534246,84,2044.0,1.0
