trace_name,C,B,real_trace_compressibility,Delta_max_smoothed,Delta_max_static_min,Gamma_smoothed,Gamma_static_min,QTV_proxy_smoothed,QTV_proxy_static_min,T_exe_smoothed,T_exe_static_min,T_static_smoothed,T_static_static_min,feasible_smoothed,feasible_static_min,stall_cycles_smoothed,stall_cycles_static_min,both_feasible,inversion,T_exe_improvement,stall_reduction,relative_change_in_QTV
multiplier_n4,2,12,1.0729893953093352,0,2,0,5,22096.0,22112.0,1381.0,1382.0,1381,1381,1,1,0.0,1.0,1,0,0.000723589001447178,1.0,-0.000723589001447178
multiplier_n4,2,13,1.0729893953093352,0,2,0,5,22096.0,22112.0,1381.0,1382.0,1381,1381,1,1,0.0,1.0,1,0,0.000723589001447178,1.0,-0.000723589001447178
multiplier_n4,2,14,1.0729893953093352,0,2,0,5,22096.0,22112.0,1381.0,1382.0,1381,1381,1,1,0.0,1.0,1,0,0.000723589001447178,1.0,-0.000723589001447178
multiplier_n4,2,15,1.0729893953093352,0,2,0,5,22096.0,22112.0,1381.0,1382.0,1381,1381,1,1,0.0,1.0,1,0,0.000723589001447178,1.0,-0.000723589001447178
multiplier_n4,3,0,1.0729893953093352,0,0,0,2,22096.0,inf,1381.0,inf,1381,1381,1,0,0.0,inf,0,0,0.0,0.0,0.0
multiplier_n4,3,1,1.0729893953093352,0,0,0,2,22096.0,22112.0,1381.0,1382.0,1381,1381,1,1,0.0,1.0,1,0,0.000723589001447178,1.0,-0.000723589001447178
multiplier_n4,3,2,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,3,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,4,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,5,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,6,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,7,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,8,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,9,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,10,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,11,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,12,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,13,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,14,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,3,15,1.0729893953093352,0,0,0,2,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,0,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,1,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,2,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,3,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,4,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,5,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,6,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,7,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,8,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,9,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,10,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,11,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,12,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,13,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,14,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,4,15,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,0,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,1,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,2,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,3,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,4,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,5,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,6,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,7,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,8,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,9,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,10,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,11,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,12,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,13,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,14,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,5,15,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,6,0,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,6,1,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,6,2,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,6,3,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
multiplier_n4,6,4,1.0729893953093352,0,0,0,0,22096.0,22096.0,1381.0,1381.0,1381,1381,1,1,0.0,0.0,1,0,0.0,0.0,0.0
