trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
adder_n4,static_min,98,10,1.3228756555322954,1,0,0,peak_demand_exceeds_reachable_stock,98,inf,inf,1.0,0,16,2,0.5714285714285714,56,inf,inf
adder_n4,static_min,98,10,1.3228756555322954,1,1,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,2,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,3,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,4,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,5,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,6,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,7,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,8,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,9,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,10,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,11,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,12,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,13,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,14,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,1,15,1,feasible,98,98.0,0.0,0.0,0,16,2,0.5714285714285714,56,980.0,1.0
adder_n4,static_min,98,10,1.3228756555322954,2,0,1,feasible,98,98.0,0.0,0.0,0,0,2,0.5714285714285714,56,980.0,1.0
